A,AUPPER,ALOWER,UA,AREF,AURL,AR,ARUPPER,ARLOWER,UAR,ARREF,ARURL,ASTROMETRY,B,BUPPER,BLOWER,UB,BREF,BURL,BIGOM,BIGOMUPPER,BIGOMLOWER,UBIGOM,BIGOMREF,BIGOMURL,BINARY,BINARYREF,BINARYURL,BMV,CHI2,COMP,DATE,DEC,DEC_STRING,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,DENSITYREF,DENSITYURL,DEPTH,DEPTHUPPER,DEPTHLOWER,UDEPTH,DEPTHREF,DEPTHURL,DIST,DISTUPPER,DISTLOWER,UDIST,DISTREF,DISTURL,DR,DRUPPER,DRLOWER,UDR,DRREF,DRURL,DVDT,DVDTUPPER,DVDTLOWER,UDVDT,DVDTREF,DVDTURL,EANAME,EAURL,ECC,ECCUPPER,ECCLOWER,UECC,ECCREF,ECCURL,EOD,ETDNAME,ETDURL,FE,FEUPPER,FELOWER,UFE,FEREF,FEURL,FIRSTREF,FIRSTURL,FREEZE_ECC,GAMMA,GAMMAUPPER,GAMMALOWER,UGAMMA,GAMMAREF,GAMMAURL,GL,GRAVITY,GRAVITYUPPER,GRAVITYLOWER,UGRAVITY,GRAVITYREF,GRAVITYURL,H,HD,HIPP,HR,I,IUPPER,ILOWER,UI,IREF,IURL,IMAGING,J,JSNAME,EPEURL,K,KUPPER,KLOWER,UK,KREF,KURL,KOI,KS,KP,LAMBDA,LAMBDAUPPER,LAMBDALOWER,ULAMBDA,LAMBDAREF,LAMBDAURL,LOGG,LOGGUPPER,LOGGLOWER,ULOGG,LOGGREF,LOGGURL,MASS,MASSUPPER,MASSLOWER,UMASS,MASSREF,MASSURL,MICROLENSING,MSINI,MSINIUPPER,MSINILOWER,UMSINI,MSINIREF,MSINIURL,MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,MSTARREF,MSTARURL,MULT,NAME,NCOMP,NOBS,OM,OMUPPER,OMLOWER,UOM,OMREF,OMURL,ORBREF,ORBURL,OTHERNAME,PAR,PARUPPER,PARLOWER,UPAR,PER,PERUPPER,PERLOWER,UPER,PERREF,PERURL,PLANETDISCMETH,R,RUPPER,RLOWER,UR,RREF,RURL,RA,RA_STRING,RHK,RHOSTAR,RHOSTARUPPER,RHOSTARLOWER,URHOSTAR,RHOSTARREF,RHOSTARURL,RMS,RR,RRUPPER,RRLOWER,URR,RRREF,RRURL,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,RSTARREF,RSTARURL,SAO,SE,SEREF,SEURL,SEDEPTHJ,SEDEPTHJUPPER,SEDEPTHJLOWER,USEDEPTHJ,SEDEPTHJREF,SEDEPTHJURL,SEDEPTHH,SEDEPTHHUPPER,SEDEPTHHLOWER,USEDEPTHH,SEDEPTHHREF,SEDEPTHHURL,SEDEPTHKS,SEDEPTHKSUPPER,SEDEPTHKSLOWER,USEDEPTHKS,SEDEPTHKSREF,SEDEPTHKSURL,SEDEPTHKP,SEDEPTHKPUPPER,SEDEPTHKPLOWER,USEDEPTHKP,SEDEPTHKPREF,SEDEPTHKPURL,SEDEPTH36,SEDEPTH36UPPER,SEDEPTH36LOWER,USEDEPTH36,SEDEPTH36REF,SEDEPTH36URL,SEDEPTH45,SEDEPTH45UPPER,SEDEPTH45LOWER,USEDEPTH45,SEDEPTH45REF,SEDEPTH45URL,SEDEPTH58,SEDEPTH58UPPER,SEDEPTH58LOWER,USEDEPTH58,SEDEPTH58REF,SEDEPTH58URL,SEDEPTH80,SEDEPTH80UPPER,SEDEPTH80LOWER,USEDEPTH80,SEDEPTH80REF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.64347,0.027497,0.027497,0.027497,Calculated,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,93.2025,3.36876,3.36876,3.36876,Calculated,,0,,,,,,,,,,,,,0,,,0.88,1.3,b,2011,3.802997222,+03:48:10.79,,,,,,,,,,,,,72.2022,2.81659,2.61275,2.71467,van Leeuwen 2007,http://adsabs.harvard.edu/abs/2007ASSL..350.....V,,,,,,,,,,,,,HD 200964 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=HD+200964+b&type=PLANET+HOST,0.04,0.04,0.02,0.03,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,1,,,-0.2,0.03,0.03,0.03,Mortier 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.7870M,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,0,-71.8836,0.147543,0.147543,0.147543,Chubak 2012,http://arxiv.org/abs/1207.6212,,,,,,CALCULATED,,4.459,200964,104202,,,,,,,,0,4.802,HD 200964,http://exoplanet.eu/star.php?st=HD+200964,34.5,2.1,2.1,2.1,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,,4.286,,,,,,,,3.41,0.08,0.08,0.08,Mortier 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.7870M,1.94873,0.135267,0.135267,0.135267,Set to MSINI; I unknown,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,0,1.94873,0.135267,0.135267,0.135267,Calculated,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,1.57,0.06,0.06,0.06,Mortier 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.7870M,1,HD 200964 b,2,80,288,79.45,79.45,79.45,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,2MASS J21063983+0348110,13.85,0.52,0.52,0.52,613.8,1.35,1.35,1.35,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,RV,,,,,,,21.11105278,+21:06:39.79,-5.1,,,,,,,6.8,,,,,,,3.80029,0.121758,0.121758,0.121758,Calculated,http://adsabs.harvard.edu/abs/2010A%26ARv..18...67T,126546,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.238855,0.00398102,0.00398102,0.00398102,Calculated,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,48.9011,2.43949,2.43949,2.43949,Calculated,,0,,,,,,,,,,,,,0,,,0.763,1.5,b,2010,-61.68799444,-61:41:16.78,,,,,,,,,,,,,42.9553,1.64771,1.53031,1.58901,van Leeuwen 2007,http://adsabs.harvard.edu/abs/2007ASSL..350.....V,,,,,,,,,,,,,HD 147018 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=HD+147018+b&type=PLANET+HOST,0.4686,0.0081,0.0081,0.0081,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,1,,,0.1,0.05,0.05,0.05,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,0,,,,,,,,0,0,0,0,CALCULATED,,6.64,147018,80250,,,,,,,,0,6.963,HD 147018,http://exoplanet.eu/star.php?st=HD+147018,145.33,1.66,1.66,1.66,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,,6.571,,,,,,,,4.38,0.16,0.16,0.16,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,2.12711,0.0756619,0.0756619,0.0756619,Set to MSINI; I unknown,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,0,2.12711,0.0756619,0.0756619,0.0756619,Calculated,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,0.927,0.031,0.031,0.031,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,1,HD 147018 b,2,101,335.97,1.23,1.23,1.23,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,,23.28,0.86,0.86,0.86,44.236,0.008,0.008,0.008,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,RV,,,,,,,16.38343611,+16:23:00.37,,,,,,,,7.39,,,,,,,1.05268,0.0494964,0.0494964,0.0494964,Calculated,http://adsabs.harvard.edu/abs/2010A%26ARv..18...67T,141104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.687282,0.0114835,0.0114835,0.0114835,Calculated,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,,,,,,,0,,,,,,,,,,,,,0,,,1.013,3.48,b,2011,-2.260508334,-02:15:37.83,,,,,,,,,,,,,28.5551,0.960827,0.900243,0.930535,van Leeuwen 2007,http://adsabs.harvard.edu/abs/2007ASSL..350.....V,,,,,,,,,,,,,HD 218566 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=HD+218566+b&type=PLANET+HOST,0.3,0.1,0.1,0.1,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,1,,,0.38,,,,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,0,-37.825,0.119486,0.119486,0.119486,Chubak 2012,http://arxiv.org/abs/1207.6212,,,,,,CALCULATED,,6.344,218566,114322,,,,,,,,0,6.826,HD 218566,http://exoplanet.eu/star.php?st=HD+218566,8.3,0.7,0.7,0.7,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,,6.223,,,,,,,,4.81,,,,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,0.212872,0.0205409,0.0205409,0.0205409,Set to MSINI; I unknown,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,0,0.212872,0.0205409,0.0205409,0.0205409,Calculated,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,0.85,0.03,0.03,0.03,Takeda 2007,http://adsabs.harvard.edu/abs/2007ApJS..168..297T,0,HD 218566 b,1,56,36,24,24,24,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,2MASS J23091067-0215385,35.02,1.14,1.14,1.14,225.7,0.4,0.4,0.4,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,RV,,,,,,,23.15287778,+23:09:10.36,-4.88,,,,,,,8.41,,,,,,,0.590728,,,,Calculated,http://adsabs.harvard.edu/abs/2010A%26ARv..18...67T,146533,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.68156,0.0138726,0.0138726,0.0138726,Calculated,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,143.356,5.5243,5.5243,5.5243,Calculated,,0,,,,,,,,,,,,,0,,,0.72,7.778,b,2009,-31.480925,-31:28:51.33,,,,,,,,,,,,,32.6904,0.743214,0.71089,0.727052,van Leeuwen 2007,http://adsabs.harvard.edu/abs/2007ASSL..350.....V,,,,,,,,,,,,,HD 45364 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=HD+45364+b&type=PLANET+HOST,0.1684,0.019,0.019,0.019,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,1,,,-0.17,0.01,0.01,0.01,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,0,,,,,,,,0,0,0,0,CALCULATED,,6.38,45364,30579,,,,,,,,0,6.748,HD 45364,http://exoplanet.eu/star.php?st=HD+45364,7.22,0.14,0.14,0.14,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,,6.316,,,,,,,,4.38,0.03,0.03,0.03,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,0.187149,0.00845199,0.00845199,0.00845199,Set to MSINI; I unknown,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,0,0.187149,0.00845199,0.00845199,0.00845199,Calculated,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,0.82,0.05,0.05,0.05,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,1,HD 45364 b,2,58,162.58,6.34,6.34,6.34,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,,30.59,0.68,0.68,0.68,226.93,0.37,0.37,0.37,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,RV,,,,,,,6.427344444,+06:25:38.44,-4.94,,,,,,,1.416,,,,,,,1.02464,0.0335279,0.0335279,0.0335279,Calculated,http://adsabs.harvard.edu/abs/2010A%26ARv..18...67T,196806,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.081426,0.0013571,0.0013571,0.0013571,Calculated,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,13.0668,2.49058,2.49058,2.49058,Calculated,,0,0.27,0.23,0.23,0.23,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,,,0,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,b,2014,46.74115,+46:44:28.14,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Kepler-361 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-361+b&type=PLANET+HOST,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,1,,,,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,,,,,,,,,,,,,,12.275,,,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,12.526,Kepler-361,http://exoplanet.eu/star.php?st=Kepler-361,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2135.03,12.198,,,,,,,,4.254,0.15,0.15,0.15,,,0.010538,0.00545651,0.00545651,0.00545651,estimated from radius; see EOD documentation,,0,,,,,,,,,,,,,1,Kepler-361 b,2,,90,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,KOI-2135,,,,,8.486616,8.40E-05,8.40E-05,8.40E-05,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Transit,0.12936,0.0249799,0.0249799,0.0249799,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,19.7869,+19:47:12.84,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,1.343,0.255,0.255,0.255,,,,0,Predicted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.101523,0.00169204,0.00169204,0.00169204,Calculated,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,18.4019,3.26456,3.26456,3.26456,Calculated,,0,0.01,0.2,0.2,0.2,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,,,0,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,c,2014,46.79361944,+46:47:37.03,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Kepler-318 c,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-318+c&type=PLANET+HOST,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,1,,,,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,,,,,,,,,,,,,,11.832,,,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,12.148,Kepler-318,http://exoplanet.eu/star.php?st=Kepler-318,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,1779.02,11.766,,,,,,,,4.325,0.15,0.15,0.15,,,0.0419521,0.014566,0.014566,0.014566,estimated from radius; see EOD documentation,,0,,,,,,,,,,,,,1,Kepler-318 c,2,,90,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,KOI-1779,,,,,11.815007,2.00E-05,2.00E-05,2.00E-05,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Transit,0.328308,0.0579891,0.0579891,0.0579891,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,19.89885,+19:53:55.86,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,1.189,0.21,0.21,0.21,,,,0,Predicted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0705863,0.00117644,0.00117644,0.00117644,Calculated,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,13.3796,5.74683,5.74683,5.74683,Calculated,,0,0.2,0.22,0.22,0.22,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,,,0,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,b,2014,49.25895,+49:15:32.22,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Kepler-372 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-372+b&type=PLANET+HOST,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,1,,,,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,,,,,,,,,,,,,,13.56,,,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,13.878,Kepler-372,http://exoplanet.eu/star.php?st=Kepler-372,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,2195.03,13.56,,,,,,,,4.405,0.3,0.3,0.3,,,0.00850717,0.00735275,0.00735275,0.00735275,estimated from radius; see EOD documentation,,0,,,,,,,,,,,,,1,Kepler-372 b,3,,90,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,KOI-2195,,,,,6.849692,0.000134,0.000134,0.000134,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Transit,0.121331,0.0526363,0.0526363,0.0526363,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,19.41708056,+19:25:01.49,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,1.137,0.488,0.488,0.488,,,,0,Predicted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
